definitional_representation  (144);;;
;;;
ID;name;items;context_of_items
121;;(1) line 122;(geometric_representation_context) (parametric_representation_context) 126
133;;(1) line 134;(geometric_representation_context) (parametric_representation_context) 138
149;;(1) line 150;(geometric_representation_context) (parametric_representation_context) 154
161;;(1) line 162;(geometric_representation_context) (parametric_representation_context) 166
177;;(1) line 178;(geometric_representation_context) (parametric_representation_context) 182
189;;(1) line 190;(geometric_representation_context) (parametric_representation_context) 194
203;;(1) line 204;(geometric_representation_context) (parametric_representation_context) 208
215;;(1) line 216;(geometric_representation_context) (parametric_representation_context) 220
241;;(1) line 242;(geometric_representation_context) (parametric_representation_context) 246
248;;(1) line 249;(geometric_representation_context) (parametric_representation_context) 253
264;;(1) line 265;(geometric_representation_context) (parametric_representation_context) 269
271;;(1) line 272;(geometric_representation_context) (parametric_representation_context) 276
287;;(1) line 288;(geometric_representation_context) (parametric_representation_context) 292
294;;(1) line 295;(geometric_representation_context) (parametric_representation_context) 299
308;;(1) line 309;(geometric_representation_context) (parametric_representation_context) 313
315;;(1) line 316;(geometric_representation_context) (parametric_representation_context) 320
332;;(1) line 333;(geometric_representation_context) (parametric_representation_context) 337
339;;(1) line 340;(geometric_representation_context) (parametric_representation_context) 344
354;;(1) line 355;(geometric_representation_context) (parametric_representation_context) 359
361;;(1) line 362;(geometric_representation_context) (parametric_representation_context) 366
379;;(1) line 380;(geometric_representation_context) (parametric_representation_context) 384
386;;(1) line 387;(geometric_representation_context) (parametric_representation_context) 391
401;;(1) line 402;(geometric_representation_context) (parametric_representation_context) 406
408;;(1) line 409;(geometric_representation_context) (parametric_representation_context) 413
493;;(1) line 494;(geometric_representation_context) (parametric_representation_context) 498
505;;(1) line 506;(geometric_representation_context) (parametric_representation_context) 510
521;;(1) line 522;(geometric_representation_context) (parametric_representation_context) 526
533;;(1) line 534;(geometric_representation_context) (parametric_representation_context) 538
549;;(1) line 550;(geometric_representation_context) (parametric_representation_context) 554
561;;(1) line 562;(geometric_representation_context) (parametric_representation_context) 566
575;;(1) line 576;(geometric_representation_context) (parametric_representation_context) 580
587;;(1) line 588;(geometric_representation_context) (parametric_representation_context) 592
613;;(1) line 614;(geometric_representation_context) (parametric_representation_context) 618
620;;(1) line 621;(geometric_representation_context) (parametric_representation_context) 625
636;;(1) line 637;(geometric_representation_context) (parametric_representation_context) 641
643;;(1) line 644;(geometric_representation_context) (parametric_representation_context) 648
659;;(1) line 660;(geometric_representation_context) (parametric_representation_context) 664
666;;(1) line 667;(geometric_representation_context) (parametric_representation_context) 671
680;;(1) line 681;(geometric_representation_context) (parametric_representation_context) 685
687;;(1) line 688;(geometric_representation_context) (parametric_representation_context) 692
704;;(1) line 705;(geometric_representation_context) (parametric_representation_context) 709
711;;(1) line 712;(geometric_representation_context) (parametric_representation_context) 716
726;;(1) line 727;(geometric_representation_context) (parametric_representation_context) 731
733;;(1) line 734;(geometric_representation_context) (parametric_representation_context) 738
751;;(1) line 752;(geometric_representation_context) (parametric_representation_context) 756
758;;(1) line 759;(geometric_representation_context) (parametric_representation_context) 763
773;;(1) line 774;(geometric_representation_context) (parametric_representation_context) 778
780;;(1) line 781;(geometric_representation_context) (parametric_representation_context) 785
865;;(1) line 866;(geometric_representation_context) (parametric_representation_context) 870
877;;(1) line 878;(geometric_representation_context) (parametric_representation_context) 882
893;;(1) line 894;(geometric_representation_context) (parametric_representation_context) 898
905;;(1) line 906;(geometric_representation_context) (parametric_representation_context) 910
921;;(1) line 922;(geometric_representation_context) (parametric_representation_context) 926
933;;(1) line 934;(geometric_representation_context) (parametric_representation_context) 938
947;;(1) line 948;(geometric_representation_context) (parametric_representation_context) 952
959;;(1) line 960;(geometric_representation_context) (parametric_representation_context) 964
985;;(1) line 986;(geometric_representation_context) (parametric_representation_context) 990
992;;(1) line 993;(geometric_representation_context) (parametric_representation_context) 997
1008;;(1) line 1009;(geometric_representation_context) (parametric_representation_context) 1013
1015;;(1) line 1016;(geometric_representation_context) (parametric_representation_context) 1020
1031;;(1) line 1032;(geometric_representation_context) (parametric_representation_context) 1036
1038;;(1) line 1039;(geometric_representation_context) (parametric_representation_context) 1043
1052;;(1) line 1053;(geometric_representation_context) (parametric_representation_context) 1057
1059;;(1) line 1060;(geometric_representation_context) (parametric_representation_context) 1064
1076;;(1) line 1077;(geometric_representation_context) (parametric_representation_context) 1081
1083;;(1) line 1084;(geometric_representation_context) (parametric_representation_context) 1088
1098;;(1) line 1099;(geometric_representation_context) (parametric_representation_context) 1103
1105;;(1) line 1106;(geometric_representation_context) (parametric_representation_context) 1110
1123;;(1) line 1124;(geometric_representation_context) (parametric_representation_context) 1128
1130;;(1) line 1131;(geometric_representation_context) (parametric_representation_context) 1135
1145;;(1) line 1146;(geometric_representation_context) (parametric_representation_context) 1150
1152;;(1) line 1153;(geometric_representation_context) (parametric_representation_context) 1157
1237;;(1) line 1238;(geometric_representation_context) (parametric_representation_context) 1242
1249;;(1) line 1250;(geometric_representation_context) (parametric_representation_context) 1254
1265;;(1) line 1266;(geometric_representation_context) (parametric_representation_context) 1270
1277;;(1) line 1278;(geometric_representation_context) (parametric_representation_context) 1282
1293;;(1) line 1294;(geometric_representation_context) (parametric_representation_context) 1298
1305;;(1) line 1306;(geometric_representation_context) (parametric_representation_context) 1310
1319;;(1) line 1320;(geometric_representation_context) (parametric_representation_context) 1324
1331;;(1) line 1332;(geometric_representation_context) (parametric_representation_context) 1336
1357;;(1) line 1358;(geometric_representation_context) (parametric_representation_context) 1362
1364;;(1) line 1365;(geometric_representation_context) (parametric_representation_context) 1369
1380;;(1) line 1381;(geometric_representation_context) (parametric_representation_context) 1385
1387;;(1) line 1388;(geometric_representation_context) (parametric_representation_context) 1392
1403;;(1) line 1404;(geometric_representation_context) (parametric_representation_context) 1408
1410;;(1) line 1411;(geometric_representation_context) (parametric_representation_context) 1415
1424;;(1) line 1425;(geometric_representation_context) (parametric_representation_context) 1429
1431;;(1) line 1432;(geometric_representation_context) (parametric_representation_context) 1436
1448;;(1) line 1449;(geometric_representation_context) (parametric_representation_context) 1453
1455;;(1) line 1456;(geometric_representation_context) (parametric_representation_context) 1460
1470;;(1) line 1471;(geometric_representation_context) (parametric_representation_context) 1475
1477;;(1) line 1478;(geometric_representation_context) (parametric_representation_context) 1482
1495;;(1) line 1496;(geometric_representation_context) (parametric_representation_context) 1500
1502;;(1) line 1503;(geometric_representation_context) (parametric_representation_context) 1507
1517;;(1) line 1518;(geometric_representation_context) (parametric_representation_context) 1522
1524;;(1) line 1525;(geometric_representation_context) (parametric_representation_context) 1529
1609;;(1) line 1610;(geometric_representation_context) (parametric_representation_context) 1614
1621;;(1) line 1622;(geometric_representation_context) (parametric_representation_context) 1626
1637;;(1) line 1638;(geometric_representation_context) (parametric_representation_context) 1642
1649;;(1) line 1650;(geometric_representation_context) (parametric_representation_context) 1654
