(geometric_representation_context)(parametric_representation_context)  (144);;;
;;;
ID;context_identifier;context_type;coordinate_space_dimension
126;2D SPACE;;2
138;2D SPACE;;2
154;2D SPACE;;2
166;2D SPACE;;2
182;2D SPACE;;2
194;2D SPACE;;2
208;2D SPACE;;2
220;2D SPACE;;2
246;2D SPACE;;2
253;2D SPACE;;2
269;2D SPACE;;2
276;2D SPACE;;2
292;2D SPACE;;2
299;2D SPACE;;2
313;2D SPACE;;2
320;2D SPACE;;2
337;2D SPACE;;2
344;2D SPACE;;2
359;2D SPACE;;2
366;2D SPACE;;2
384;2D SPACE;;2
391;2D SPACE;;2
406;2D SPACE;;2
413;2D SPACE;;2
498;2D SPACE;;2
510;2D SPACE;;2
526;2D SPACE;;2
538;2D SPACE;;2
554;2D SPACE;;2
566;2D SPACE;;2
580;2D SPACE;;2
592;2D SPACE;;2
618;2D SPACE;;2
625;2D SPACE;;2
641;2D SPACE;;2
648;2D SPACE;;2
664;2D SPACE;;2
671;2D SPACE;;2
685;2D SPACE;;2
692;2D SPACE;;2
709;2D SPACE;;2
716;2D SPACE;;2
731;2D SPACE;;2
738;2D SPACE;;2
756;2D SPACE;;2
763;2D SPACE;;2
778;2D SPACE;;2
785;2D SPACE;;2
870;2D SPACE;;2
882;2D SPACE;;2
898;2D SPACE;;2
910;2D SPACE;;2
926;2D SPACE;;2
938;2D SPACE;;2
952;2D SPACE;;2
964;2D SPACE;;2
990;2D SPACE;;2
997;2D SPACE;;2
1013;2D SPACE;;2
1020;2D SPACE;;2
1036;2D SPACE;;2
1043;2D SPACE;;2
1057;2D SPACE;;2
1064;2D SPACE;;2
1081;2D SPACE;;2
1088;2D SPACE;;2
1103;2D SPACE;;2
1110;2D SPACE;;2
1128;2D SPACE;;2
1135;2D SPACE;;2
1150;2D SPACE;;2
1157;2D SPACE;;2
1242;2D SPACE;;2
1254;2D SPACE;;2
1270;2D SPACE;;2
1282;2D SPACE;;2
1298;2D SPACE;;2
1310;2D SPACE;;2
1324;2D SPACE;;2
1336;2D SPACE;;2
1362;2D SPACE;;2
1369;2D SPACE;;2
1385;2D SPACE;;2
1392;2D SPACE;;2
1408;2D SPACE;;2
1415;2D SPACE;;2
1429;2D SPACE;;2
1436;2D SPACE;;2
1453;2D SPACE;;2
1460;2D SPACE;;2
1475;2D SPACE;;2
1482;2D SPACE;;2
1500;2D SPACE;;2
1507;2D SPACE;;2
1522;2D SPACE;;2
1529;2D SPACE;;2
1614;2D SPACE;;2
1626;2D SPACE;;2
1642;2D SPACE;;2
1654;2D SPACE;;2
1670;2D SPACE;;2
1682;2D SPACE;;2
1696;2D SPACE;;2
1708;2D SPACE;;2
1734;2D SPACE;;2
1741;2D SPACE;;2
1757;2D SPACE;;2
1764;2D SPACE;;2
1780;2D SPACE;;2
1787;2D SPACE;;2
1801;2D SPACE;;2
1808;2D SPACE;;2
1825;2D SPACE;;2
1832;2D SPACE;;2
1847;2D SPACE;;2
1854;2D SPACE;;2
1872;2D SPACE;;2
1879;2D SPACE;;2
1894;2D SPACE;;2
1901;2D SPACE;;2
1986;2D SPACE;;2
1998;2D SPACE;;2
2014;2D SPACE;;2
2026;2D SPACE;;2
2042;2D SPACE;;2
2054;2D SPACE;;2
2068;2D SPACE;;2
2080;2D SPACE;;2
2106;2D SPACE;;2
2113;2D SPACE;;2
2129;2D SPACE;;2
2136;2D SPACE;;2
2152;2D SPACE;;2
2159;2D SPACE;;2
2173;2D SPACE;;2
2180;2D SPACE;;2
2197;2D SPACE;;2
2204;2D SPACE;;2
2219;2D SPACE;;2
2226;2D SPACE;;2
2244;2D SPACE;;2
2251;2D SPACE;;2
2266;2D SPACE;;2
2273;2D SPACE;;2
