item_defined_transformation  (13);;;;
;;;;
ID;name;description;transform_item_1;transform_item_2
64;;;axis2_placement_3d 11;axis2_placement_3d 15
87;;;axis2_placement_3d 11;axis2_placement_3d 33
436;;;axis2_placement_3d 11;axis2_placement_3d 76
459;;;axis2_placement_3d 11;axis2_placement_3d 37
808;;;axis2_placement_3d 11;axis2_placement_3d 448
831;;;axis2_placement_3d 11;axis2_placement_3d 41
1180;;;axis2_placement_3d 11;axis2_placement_3d 820
1203;;;axis2_placement_3d 11;axis2_placement_3d 45
1552;;;axis2_placement_3d 11;axis2_placement_3d 1192
1575;;;axis2_placement_3d 11;axis2_placement_3d 49
1924;;;axis2_placement_3d 11;axis2_placement_3d 1564
1947;;;axis2_placement_3d 11;axis2_placement_3d 53
2296;;;axis2_placement_3d 11;axis2_placement_3d 1936
