product_context  (14);;;
;;;
ID;name;frame_of_reference;discipline_type
8;;application_context 2;mechanical
30;;application_context 2;mechanical
73;;application_context 2;mechanical
96;;application_context 2;mechanical
445;;application_context 2;mechanical
468;;application_context 2;mechanical
817;;application_context 2;mechanical
840;;application_context 2;mechanical
1189;;application_context 2;mechanical
1212;;application_context 2;mechanical
1561;;application_context 2;mechanical
1584;;application_context 2;mechanical
1933;;application_context 2;mechanical
1956;;application_context 2;mechanical
